Country,Cancer,ASR,Crude rate
Afghanistan,Anal cancer,0.47,0.27
Albania,Anal cancer,0.24,0.38
Algeria,Anal cancer,0.34,0.35
Angola,Anal cancer,0.24,0.11
Azerbaijan,Anal cancer,0.87,1.0
Argentina,Anal cancer,0.5,0.64
Australia,Anal cancer,1.4,2.5
Austria,Anal cancer,1.1,2.2
Bahamas,Anal cancer,1.3,1.5
Bahrain,Anal cancer,0.24,0.17
Bangladesh,Anal cancer,0.24,0.22
Armenia,Anal cancer,0.24,0.4
Barbados,Anal cancer,1.4,2.8
Belgium,Anal cancer,1.0,2.1
Bhutan,Anal cancer,0.0,0.0
Bolivia,Anal cancer,0.08,0.08
Bosnia and Herzegovina,Anal cancer,0.16,0.31
Botswana,Anal cancer,0.71,0.66
Brazil,Anal cancer,1.1,1.5
Belize,Anal cancer,0.0,0.0
Solomon Islands,Anal cancer,0.35,0.28
Brunei Darussalam,Anal cancer,0.0,0.0
Bulgaria,Anal cancer,0.49,0.99
Myanmar,Anal cancer,0.31,0.32
Burundi,Anal cancer,0.99,0.43
Belarus,Anal cancer,0.75,1.4
Cambodia,Anal cancer,0.29,0.24
Cameroon,Anal cancer,0.68,0.37
Canada,Anal cancer,1.2,2.3
Cabo Verde,Anal cancer,0.39,0.35
Central African Republic,Anal cancer,0.57,0.32
Sri Lanka,Anal cancer,0.41,0.64
Chad,Anal cancer,0.13,0.05
Chile,Anal cancer,0.38,0.61
China,Anal cancer,0.22,0.39
Colombia,Anal cancer,0.78,1.0
Comoros,Anal cancer,0.0,0.0
Congo Republic,Anal cancer,0.84,0.5
DR Congo,Anal cancer,0.98,0.52
Costa Rica,Anal cancer,0.23,0.35
Croatia,Anal cancer,0.48,1.1
Cuba,Anal cancer,0.83,1.6
Cyprus,Anal cancer,0.51,0.9
Czechia,Anal cancer,1.1,2.5
Benin,Anal cancer,0.65,0.38
Denmark,Anal cancer,1.6,3.1
Dominican Republic,Anal cancer,0.16,0.18
Ecuador,Anal cancer,0.66,0.73
El Salvador,Anal cancer,0.25,0.29
Ethiopia,Anal cancer,0.44,0.29
Eritrea,Anal cancer,0.12,0.11
Estonia,Anal cancer,0.69,1.2
Fiji,Anal cancer,0.53,0.55
Finland,Anal cancer,0.44,0.95
France,Anal cancer,1.6,3.0
French Guiana,Anal cancer,0.69,0.64
French Polynesia,Anal cancer,0.21,0.35
Djibouti,Anal cancer,0.0,0.0
Gabon,Anal cancer,1.1,0.77
Georgia,Anal cancer,0.2,0.48
Gambia,Anal cancer,0.0,0.0
Palestine,Anal cancer,0.11,0.06
Germany,Anal cancer,1.5,3.2
Ghana,Anal cancer,0.93,0.66
Greece,Anal cancer,0.85,1.8
Guadeloupe,Anal cancer,0.33,0.75
Guam,Anal cancer,0.0,0.0
Guatemala,Anal cancer,0.05,0.03
Guinea,Anal cancer,0.41,0.22
Guyana,Anal cancer,0.13,0.13
Haiti,Anal cancer,0.7,0.58
Honduras,Anal cancer,0.58,0.44
Hungary,Anal cancer,0.24,0.56
Iceland,Anal cancer,0.52,0.87
India,Anal cancer,0.36,0.37
Indonesia,Anal cancer,0.28,0.28
Iran,Anal cancer,0.26,0.28
Iraq,Anal cancer,0.16,0.1
Ireland,Anal cancer,0.78,1.4
Israel,Anal cancer,0.32,0.47
Italy,Anal cancer,1.0,2.5
Cote d'Ivoire,Anal cancer,0.53,0.33
Jamaica,Anal cancer,0.65,0.87
Japan,Anal cancer,0.29,0.87
Kazakhstan,Anal cancer,0.25,0.3
Jordan,Anal cancer,0.27,0.2
Kenya,Anal cancer,0.87,0.43
North Korea,Anal cancer,0.09,0.15
South Korea,Anal cancer,0.34,0.73
Kuwait,Anal cancer,0.16,0.23
Kyrgyz Republic,Anal cancer,0.26,0.21
Laos,Anal cancer,0.19,0.15
Lebanon,Anal cancer,0.21,0.24
Lesotho,Anal cancer,0.33,0.28
Latvia,Anal cancer,0.66,1.5
Liberia,Anal cancer,0.4,0.26
Libya,Anal cancer,0.21,0.23
Lithuania,Anal cancer,0.47,1.2
Luxembourg,Anal cancer,0.49,0.93
Madagascar,Anal cancer,1.4,0.8
Malawi,Anal cancer,0.85,0.47
Malaysia,Anal cancer,0.26,0.3
Maldives,Anal cancer,0.0,0.0
Mali,Anal cancer,0.61,0.3
Malta,Anal cancer,0.54,1.1
Martinique,Anal cancer,0.49,1.3
Mauritania,Anal cancer,0.84,0.53
Mauritius,Anal cancer,0.26,0.47
Mexico,Anal cancer,0.23,0.26
Mongolia,Anal cancer,0.36,0.3
Moldova,Anal cancer,0.18,0.27
Montenegro,Anal cancer,0.66,1.3
Morocco,Anal cancer,0.62,0.71
Mozambique,Anal cancer,0.66,0.4
Oman,Anal cancer,0.69,0.45
Namibia,Anal cancer,0.67,0.42
Nepal,Anal cancer,0.15,0.15
Netherlands,Anal cancer,1.0,2.0
New Caledonia,Anal cancer,0.51,0.69
Vanuatu,Anal cancer,0.36,0.31
New Zealand,Anal cancer,0.77,1.5
Nicaragua,Anal cancer,0.41,0.37
Niger,Anal cancer,0.87,0.46
Nigeria,Anal cancer,1.3,0.6
Norway,Anal cancer,0.99,1.9
Pakistan,Anal cancer,0.35,0.27
Panama,Anal cancer,0.31,0.38
Papua New Guinea,Anal cancer,1.9,1.1
Paraguay,Anal cancer,0.95,0.89
Peru,Anal cancer,0.6,0.72
Philippines,Anal cancer,0.24,0.21
Poland,Anal cancer,0.6,1.3
Portugal,Anal cancer,0.74,2.0
Guinea-Bissau,Anal cancer,0.21,0.1
Timor-Leste,Anal cancer,0.0,0.0
Puerto Rico,Anal cancer,0.75,1.7
Qatar,Anal cancer,0.22,0.13
Reunion,Anal cancer,0.66,1.1
Romania,Anal cancer,0.65,1.4
Russia,Anal cancer,0.56,0.94
Rwanda,Anal cancer,0.23,0.14
St. Lucia,Anal cancer,0.0,0.0
Sao Tome and Principe,Anal cancer,0.0,0.0
Saudi Arabia,Anal cancer,0.28,0.25
Senegal,Anal cancer,0.66,0.38
Serbia,Anal cancer,0.61,1.4
Sierra Leone,Anal cancer,0.04,0.04
Singapore,Anal cancer,0.6,1.2
Slovakia,Anal cancer,1.0,2.1
Vietnam,Anal cancer,0.44,0.55
Slovenia,Anal cancer,0.25,0.63
Somalia,Anal cancer,0.5,0.26
South Africa,Anal cancer,0.83,0.82
Zimbabwe,Anal cancer,0.98,0.56
Spain,Anal cancer,0.6,1.3
South Sudan,Anal cancer,0.46,0.28
Sudan,Anal cancer,0.12,0.11
Suriname,Anal cancer,0.28,0.34
Eswatini,Anal cancer,0.85,0.59
Sweden,Anal cancer,1.0,2.1
Switzerland,Anal cancer,1.4,3.0
Syria,Anal cancer,0.16,0.12
Tajikistan,Anal cancer,0.51,0.38
Thailand,Anal cancer,0.27,0.48
Togo,Anal cancer,0.77,0.47
Trinidad and Tobago,Anal cancer,0.79,1.2
United Arab Emirates,Anal cancer,0.21,0.12
Tunisia,Anal cancer,0.52,0.68
Türkiye,Anal cancer,0.24,0.3
Turkmenistan,Anal cancer,0.7,0.64
Uganda,Anal cancer,0.6,0.24
Ukraine,Anal cancer,0.45,0.85
North Macedonia,Anal cancer,0.34,0.62
Egypt,Anal cancer,0.38,0.33
United Kingdom,Anal cancer,1.5,2.8
Tanzania,Anal cancer,1.7,0.88
United States,Anal cancer,1.5,2.7
Burkina Faso,Anal cancer,0.84,0.52
Uruguay,Anal cancer,1.0,1.7
Uzbekistan,Anal cancer,0.76,0.72
Venezuela,Anal cancer,0.95,1.1
Samoa,Anal cancer,0.0,0.0
Yemen,Anal cancer,0.12,0.07
Zambia,Anal cancer,0.5,0.31
"Micronesia, Fed. Sts.",Anal cancer,0.0,0.0
Afghanistan,Bladder cancer,2.4,1.1
Albania,Bladder cancer,8.2,17.0
Algeria,Bladder cancer,7.2,7.1
Angola,Bladder cancer,2.9,1.4
Azerbaijan,Bladder cancer,5.4,6.4
Argentina,Bladder cancer,5.2,8.1
Australia,Bladder cancer,7.4,17.1
Austria,Bladder cancer,8.2,21.6
Bahamas,Bladder cancer,1.2,1.5
Bahrain,Bladder cancer,7.3,3.6
Bangladesh,Bladder cancer,1.1,0.97
Armenia,Bladder cancer,7.0,12.4
Barbados,Bladder cancer,1.6,4.2
Belgium,Bladder cancer,12.9,32.8
Bhutan,Bladder cancer,0.51,0.51
Bolivia,Bladder cancer,1.0,1.0
Bosnia and Herzegovina,Bladder cancer,9.2,20.6
Botswana,Bladder cancer,0.82,0.57
Brazil,Bladder cancer,5.4,7.9
Belize,Bladder cancer,0.0,0.0
Solomon Islands,Bladder cancer,1.4,0.83
Brunei Darussalam,Bladder cancer,4.3,4.5
Bulgaria,Bladder cancer,10.7,25.3
Myanmar,Bladder cancer,1.9,1.8
Burundi,Bladder cancer,2.1,0.86
Belarus,Bladder cancer,7.9,15.5
Cambodia,Bladder cancer,2.0,1.5
Cameroon,Bladder cancer,1.4,0.64
Canada,Bladder cancer,15.6,39.4
Cabo Verde,Bladder cancer,2.5,2.1
Central African Republic,Bladder cancer,1.5,0.72
Sri Lanka,Bladder cancer,1.9,3.2
Chad,Bladder cancer,3.2,1.7
