Cancer,Articles,Country,ASR,Norm_articles
Anal cancer,0,Sudan,0.12,0.0
Bladder cancer,5,Sudan,2.2,0.09678293523285975
Brain cancer,4,Sudan,1.4,0.0774263481862878
Breast cancer,71,Sudan,39.9,1.3743176803066084
Cervical cancer,13,Sudan,8.6,0.25163563160543534
Colon cancer,7,Sudan,2.7,0.13549610932600364
Colorectal cancer,17,Sudan,5.5,0.32906197979172314
Esophageal cancer,7,Sudan,2.9,0.13549610932600364
Gallbladder cancer,1,Sudan,1.0,0.01935658704657195
Hodgkin lymphoma,2,Sudan,0.86,0.0387131740931439
Kaposi sarcoma,1,Sudan,0.28,0.01935658704657195
Kidney cancer,7,Sudan,1.9,0.13549610932600364
Laryngeal cancer,0,Sudan,1.1,0.0
Leukemia,19,Sudan,4.0,0.36777515388486703
Liver cancer,11,Sudan,4.4,0.21292245751229144
Lung cancer,11,Sudan,2.5,0.21292245751229144
Mesothelioma,0,Sudan,0.0,0.0
Mouth cancer,0,Sudan,1.9,0.0
Multiple myeloma,1,Sudan,1.1,0.01935658704657195
Non-Hodgkin lymphoma,3,Sudan,4.9,0.05806976113971585
Ovarian cancer,3,Sudan,6.4,0.05806976113971585
Pancreatic cancer,4,Sudan,1.1,0.0774263481862878
Penile cancer,0,Sudan,0.18,0.0
Prostate cancer,12,Sudan,11.9,0.2322790445588634
Rectal cancer,5,Sudan,2.7,0.09678293523285975
Salivary gland cancer,1,Sudan,0.42,0.01935658704657195
Skin cancer,3,Sudan,2.29,0.05806976113971585
Stomach cancer,0,Sudan,2.4,0.0
Testicular cancer,0,Sudan,0.66,0.0
Throat cancer,0,Sudan,2.22,0.0
Thyroid cancer,6,Sudan,2.6,0.1161395222794317
Uterine cancer,0,Sudan,2.6,0.0
Vaginal cancer,0,Sudan,0.31,0.0
Vulvar cancer,0,Sudan,1.2,0.0
Anal cancer,0,Somalia,0.5,0.0
Bladder cancer,2,Somalia,2.3,0.10175527855507505
Brain cancer,0,Somalia,1.4,0.0
Breast cancer,3,Somalia,38.6,0.15263291783261257
Cervical cancer,4,Somalia,26.6,0.2035105571101501
Colon cancer,0,Somalia,5.2,0.0
Colorectal cancer,1,Somalia,9.2,0.05087763927753752
Esophageal cancer,3,Somalia,5.4,0.15263291783261257
Gallbladder cancer,0,Somalia,0.91,0.0
Hodgkin lymphoma,2,Somalia,0.74,0.10175527855507505
Kaposi sarcoma,0,Somalia,0.74,0.0
Kidney cancer,2,Somalia,2.0,0.10175527855507505
Laryngeal cancer,1,Somalia,1.2,0.05087763927753752
Leukemia,1,Somalia,4.5,0.05087763927753752
Liver cancer,5,Somalia,3.7,0.2543881963876876
Lung cancer,5,Somalia,3.5,0.2543881963876876
Mesothelioma,0,Somalia,0.01,0.0
Mouth cancer,0,Somalia,2.3,0.0
Multiple myeloma,0,Somalia,1.3,0.0
Non-Hodgkin lymphoma,1,Somalia,4.3,0.05087763927753752
Ovarian cancer,0,Somalia,7.0,0.0
Pancreatic cancer,0,Somalia,2.0,0.0
Penile cancer,0,Somalia,0.07,0.0
Prostate cancer,1,Somalia,18.5,0.05087763927753752
Rectal cancer,0,Somalia,3.5,0.0
Salivary gland cancer,0,Somalia,0.58,0.0
Skin cancer,0,Somalia,3.58,0.0
Stomach cancer,1,Somalia,5.0,0.05087763927753752
Testicular cancer,0,Somalia,0.37,0.0
Throat cancer,0,Somalia,2.0700000000000003,0.0
Thyroid cancer,1,Somalia,2.8,0.05087763927753752
Uterine cancer,0,Somalia,3.6,0.0
Vaginal cancer,0,Somalia,0.57,0.0
Vulvar cancer,0,Somalia,1.1,0.0
Anal cancer,0,Bolivia,0.08,0.0
Bladder cancer,0,Bolivia,1.0,0.0
Brain cancer,1,Bolivia,2.3,0.08839685236488098
Breast cancer,0,Bolivia,26.8,0.0
Cervical cancer,3,Bolivia,38.7,0.26519055709464295
Colon cancer,1,Bolivia,4.8,0.08839685236488098
Colorectal cancer,0,Bolivia,6.0,0.0
Esophageal cancer,0,Bolivia,1.4,0.0
Gallbladder cancer,1,Bolivia,7.6,0.08839685236488098
Hodgkin lymphoma,0,Bolivia,1.2,0.0
Kaposi sarcoma,1,Bolivia,0.0,0.08839685236488098
Kidney cancer,0,Bolivia,3.0,0.0
Laryngeal cancer,0,Bolivia,1.3,0.0
Leukemia,1,Bolivia,4.9,0.08839685236488098
Liver cancer,0,Bolivia,6.7,0.0
Lung cancer,0,Bolivia,8.5,0.0
Mesothelioma,0,Bolivia,0.11,0.0
Mouth cancer,0,Bolivia,0.59,0.0
Multiple myeloma,0,Bolivia,0.42,0.0
Non-Hodgkin lymphoma,0,Bolivia,2.5,0.0
Ovarian cancer,0,Bolivia,3.1,0.0
Pancreatic cancer,0,Bolivia,3.0,0.0
