Cancer,Articles,Country,ASR
Anal cancer,0.0,Sudan,0.09658725048293626
Bladder cancer,2.336448598130841,Sudan,1.7707662588538315
Brain cancer,1.8691588785046729,Sudan,1.1268512556342563
Breast cancer,33.177570093457945,Sudan,32.115260785576304
Cervical cancer,6.074766355140187,Sudan,6.922086284610431
Colon cancer,3.2710280373831777,Sudan,2.1732131358660656
Colorectal cancer,7.94392523364486,Sudan,4.426915647134578
Esophageal cancer,3.2710280373831777,Sudan,2.3341918866709594
Gallbladder cancer,0.4672897196261682,Sudan,0.8048937540244688
Hodgkin lymphoma,0.9345794392523364,Sudan,0.6922086284610431
Kaposi sarcoma,0.4672897196261682,Sudan,0.2253702511268513
Kidney cancer,3.2710280373831777,Sudan,1.5292981326464907
Laryngeal cancer,0.0,Sudan,0.8853831294269158
Leukemia,8.878504672897197,Sudan,3.2195750160978753
Liver cancer,5.140186915887851,Sudan,3.541532517707663
Lung cancer,5.140186915887851,Sudan,2.012234385061172
Mesothelioma,0.0,Sudan,0.0
Mouth cancer,0.0,Sudan,1.5292981326464907
Multiple myeloma,0.4672897196261682,Sudan,0.8853831294269158
Non-Hodgkin lymphoma,1.4018691588785046,Sudan,3.943979394719898
Ovarian cancer,1.4018691588785046,Sudan,5.1513200257566005
Pancreatic cancer,1.8691588785046729,Sudan,0.8853831294269158
Penile cancer,0.0,Sudan,0.1448808757244044
Prostate cancer,5.607476635514018,Sudan,9.578235672891179
Rectal cancer,2.336448598130841,Sudan,2.1732131358660656
Salivary gland cancer,0.4672897196261682,Sudan,0.3380553766902769
Skin cancer,1.4018691588785046,Sudan,1.8432066967160337
Stomach cancer,0.0,Sudan,1.9317450096587252
Testicular cancer,0.0,Sudan,0.5312298776561494
Throat cancer,0.0,Sudan,1.786864133934321
Thyroid cancer,2.803738317757009,Sudan,2.092723760463619
Uterine cancer,0.0,Sudan,2.092723760463619
Vaginal cancer,0.0,Sudan,0.24951706374758534
Vulvar cancer,0.0,Sudan,0.9658725048293626
Anal cancer,0.0,Samoa,0.0
Bladder cancer,0.0,Samoa,1.3988010276905511
Brain cancer,0.0,Samoa,0.6280331144733087
Breast cancer,0.0,Samoa,25.349700256922638
Cervical cancer,100.0,Samoa,3.7967456465886382
Colon cancer,0.0,Samoa,4.339137881815587
Colorectal cancer,0.0,Samoa,7.2223808164430485
Esophageal cancer,0.0,Samoa,0.7136739937196689
Gallbladder cancer,0.0,Samoa,0.0
Hodgkin lymphoma,0.0,Samoa,0.0
Kaposi sarcoma,0.0,Samoa,0.0
Kidney cancer,0.0,Samoa,2.2266628604053667
Laryngeal cancer,0.0,Samoa,0.5138452754781616
Leukemia,0.0,Samoa,0.9420496717099629
Liver cancer,0.0,Samoa,1.5700827861832714
Lung cancer,0.0,Samoa,9.506137596345988
Mesothelioma,0.0,Samoa,0.0
Mouth cancer,0.0,Samoa,0.5138452754781616
Multiple myeloma,0.0,Samoa,0.7993148729660291
Non-Hodgkin lymphoma,0.0,Samoa,2.3979446188980873
Ovarian cancer,0.0,Samoa,4.053668284327719
Pancreatic cancer,0.0,Samoa,1.741364544675992
Penile cancer,0.0,Samoa,0.0
Prostate cancer,0.0,Samoa,14.016557236654295
Rectal cancer,0.0,Samoa,2.883242934627462
Salivary gland cancer,0.0,Samoa,0.0
Skin cancer,0.0,Samoa,0.0
Stomach cancer,0.0,Samoa,3.33999429060805
Testicular cancer,0.0,Samoa,1.1133314302026833
Throat cancer,0.0,Samoa,0.6280331144733087
Thyroid cancer,0.0,Samoa,2.8261490151298885
Uterine cancer,0.0,Samoa,7.479303454182129
Vaginal cancer,0.0,Samoa,0.0
Vulvar cancer,0.0,Samoa,0.0
Anal cancer,0.0,Somalia,0.3027734043841589
Bladder cancer,6.0606060606060606,Somalia,1.3927576601671308
Brain cancer,0.0,Somalia,0.847765532275645
Breast cancer,9.090909090909092,Somalia,23.37410681845707
Cervical cancer,12.121212121212121,Somalia,16.107545113237254
Colon cancer,0.0,Somalia,3.1488434055952528
Colorectal cancer,3.0303030303030303,Somalia,5.571030640668523
Esophageal cancer,9.090909090909092,Somalia,3.2699527673489164
Gallbladder cancer,0.0,Somalia,0.5510475959791692
Hodgkin lymphoma,6.0606060606060606,Somalia,0.4481046384885552
Kaposi sarcoma,0.0,Somalia,0.4481046384885552
Kidney cancer,6.0606060606060606,Somalia,1.2110936175366356
Laryngeal cancer,3.0303030303030303,Somalia,0.7266561705219814
Leukemia,3.0303030303030303,Somalia,2.7249606394574304
Liver cancer,15.151515151515152,Somalia,2.240523192442776
Lung cancer,15.151515151515152,Somalia,2.1194138306891124
Mesothelioma,0.0,Somalia,0.006055468087683178
Mouth cancer,0.0,Somalia,1.3927576601671308
Multiple myeloma,0.0,Somalia,0.7872108513988132
Non-Hodgkin lymphoma,3.0303030303030303,Somalia,2.603851277703767
Ovarian cancer,0.0,Somalia,4.238827661378225
Pancreatic cancer,0.0,Somalia,1.2110936175366356
Penile cancer,0.0,Somalia,0.04238827661378226
Prostate cancer,3.0303030303030303,Somalia,11.20261596221388
Rectal cancer,0.0,Somalia,2.1194138306891124
Salivary gland cancer,0.0,Somalia,0.3512171490856243
Skin cancer,0.0,Somalia,2.167857575390578
Stomach cancer,3.0303030303030303,Somalia,3.027734043841589
Testicular cancer,0.0,Somalia,0.2240523192442776
Throat cancer,0.0,Somalia,1.253481894150418
Thyroid cancer,3.0303030303030303,Somalia,1.69553106455129
Uterine cancer,0.0,Somalia,2.1799685115659444
Vaginal cancer,0.0,Somalia,0.34516168099794114
Vulvar cancer,0.0,Somalia,0.6661014896451497
Anal cancer,1.0775862068965518,Cyprus,0.12374736126950234
Bladder cancer,1.7241379310344827,Cyprus,3.2514012568849635
Brain cancer,4.741379310344827,Cyprus,1.6742290054109141
Breast cancer,35.3448275862069,Cyprus,25.42886953145852
Cervical cancer,1.9396551724137931,Cyprus,1.6984931938951302
Colon cancer,4.310344827586207,Cyprus,4.076383665348312
Colorectal cancer,8.836206896551724,Cyprus,5.847669424696091
Esophageal cancer,0.21551724137931033,Cyprus,0.17712857593477788
Gallbladder cancer,0.0,Cyprus,0.12132094242108073
Hodgkin lymphoma,0.0,Cyprus,0.6308689005896198
Kaposi sarcoma,0.0,Cyprus,0.055807633513697136
Kidney cancer,1.9396551724137931,Cyprus,1.140416858758159
Laryngeal cancer,0.0,Cyprus,0.509547958168539
Leukemia,3.663793103448276,Cyprus,2.5962681678111275
Liver cancer,2.1551724137931036,Cyprus,1.3587945551161043
