Year,Articles
1984,40075
1985,41699
1986,42957
1987,44938
1988,47953
1989,51838
1990,53232
1991,51473
1992,53303
1993,55103
1994,58000
1995,58541
1996,61090
1997,62860
1998,64720
1999,66895
2000,71170
2001,72691
2002,76353
2003,81219
2004,85434
2005,91004
2006,94267
2007,99610
2008,104591
2009,109345
2010,117318
2011,125587
2012,138544
2013,147002
2014,161508
2015,170983
2016,175374
2017,180199
2018,187680
2019,201285
2020,226078
2021,249020
2022,245236
2023,237357
2024,244312
2025,214697
2026,226
