Cancer,Articles,Country,ASR,Norm_articles
Anal cancer,6,Canada,1.2,0.14440854795592467
Bladder cancer,29,Canada,15.6,0.697974648453636
Brain cancer,96,Canada,5.5,2.3105367672947947
Breast cancer,647,Canada,88.6,15.572055087913878
Cervical cancer,60,Canada,6.6,1.4440854795592468
Colon cancer,31,Canada,17.5,0.7461108311056108
Colorectal cancer,153,Canada,28.6,3.6824179728760793
Esophageal cancer,19,Canada,3.2,0.4572937351937615
Gallbladder cancer,1,Canada,0.55,0.02406809132598745
Hodgkin lymphoma,34,Canada,2.6,0.8183151050835732
Kaposi sarcoma,0,Canada,0.16,0.0
Kidney cancer,43,Canada,10.9,1.0349279270174603
Laryngeal cancer,2,Canada,1.2,0.0481361826519749
Leukemia,230,Canada,11.7,5.535661004977113
Liver cancer,34,Canada,5.9,0.8183151050835732
Lung cancer,34,Canada,32.4,0.8183151050835732
Mesothelioma,15,Canada,0.66,0.3610213698898117
Mouth cancer,0,Canada,4.4,0.0
Multiple myeloma,67,Canada,5.3,1.612562118841159
Non-Hodgkin lymphoma,47,Canada,12.1,1.13120029232141
Ovarian cancer,74,Canada,9.2,1.781038758123071
Pancreatic cancer,40,Canada,7.5,0.9627236530394979
Penile cancer,1,Canada,0.68,0.02406809132598745
Prostate cancer,481,Canada,60.1,11.576751927799963
Rectal cancer,46,Canada,9.9,1.1071322009954225
Salivary gland cancer,1,Canada,0.94,0.02406809132598745
Skin cancer,71,Canada,68.0,1.7088344841451086
Stomach cancer,3,Canada,4.7,0.07220427397796234
Testicular cancer,8,Canada,5.8,0.1925447306078996
Throat cancer,0,Canada,3.1100000000000003,0.0
Thyroid cancer,12,Canada,10.7,0.28881709591184934
Uterine cancer,34,Canada,21.1,0.8183151050835732
Vaginal cancer,0,Canada,0.53,0.0
Vulvar cancer,0,Canada,2.2,0.0
Anal cancer,0,Eritrea,0.12,0.0
Bladder cancer,0,Eritrea,2.3,0.0
Brain cancer,0,Eritrea,1.2,0.0
Breast cancer,0,Eritrea,37.8,0.0
Cervical cancer,0,Eritrea,16.4,0.0
Colon cancer,0,Eritrea,3.6,0.0
Colorectal cancer,0,Eritrea,6.9,0.0
Esophageal cancer,0,Eritrea,2.8,0.0
Gallbladder cancer,0,Eritrea,0.8,0.0
Hodgkin lymphoma,0,Eritrea,0.65,0.0
Kaposi sarcoma,0,Eritrea,0.07,0.0
Kidney cancer,0,Eritrea,2.1,0.0
Laryngeal cancer,0,Eritrea,0.83,0.0
Leukemia,0,Eritrea,4.5,0.0
Liver cancer,0,Eritrea,4.3,0.0
Lung cancer,0,Eritrea,3.2,0.0
Mesothelioma,0,Eritrea,0.0,0.0
Mouth cancer,0,Eritrea,1.7,0.0
Multiple myeloma,0,Eritrea,0.91,0.0
Non-Hodgkin lymphoma,0,Eritrea,4.9,0.0
Ovarian cancer,0,Eritrea,7.2,0.0
Pancreatic cancer,0,Eritrea,1.2,0.0
Penile cancer,0,Eritrea,0.11,0.0
Prostate cancer,0,Eritrea,10.9,0.0
Rectal cancer,0,Eritrea,3.2,0.0
Salivary gland cancer,0,Eritrea,0.45,0.0
Skin cancer,0,Eritrea,2.86,0.0
Stomach cancer,0,Eritrea,3.0,0.0
Testicular cancer,0,Eritrea,0.64,0.0
Throat cancer,0,Eritrea,1.24,0.0
Thyroid cancer,0,Eritrea,3.3,0.0
Uterine cancer,0,Eritrea,2.6,0.0
Vaginal cancer,0,Eritrea,0.47,0.0
Vulvar cancer,0,Eritrea,1.3,0.0
Anal cancer,0,Lithuania,0.47,0.0
Bladder cancer,1,Lithuania,7.8,0.34552136928736565
Brain cancer,0,Lithuania,6.8,0.0
Breast cancer,5,Lithuania,62.7,1.7276068464368282
