Cancer,Articles,Country
Anal cancer,6,Canada
Bladder cancer,29,Canada
Brain cancer,96,Canada
Breast cancer,647,Canada
Cervical cancer,60,Canada
Colon cancer,31,Canada
Colorectal cancer,153,Canada
Esophageal cancer,19,Canada
Gallbladder cancer,1,Canada
Hodgkin lymphoma,34,Canada
Kaposi sarcoma,0,Canada
Kidney cancer,43,Canada
Laryngeal cancer,2,Canada
Leukemia,230,Canada
Liver cancer,34,Canada
Lung cancer,34,Canada
Mesothelioma,15,Canada
Mouth cancer,0,Canada
Multiple myeloma,67,Canada
Non-Hodgkin lymphoma,47,Canada
Other cancer,0,Canada
Ovarian cancer,74,Canada
Pancreatic cancer,40,Canada
Penile cancer,1,Canada
Prostate cancer,481,Canada
Rectal cancer,46,Canada
Salivary gland cancer,1,Canada
Skin cancer,71,Canada
Stomach cancer,3,Canada
Testicular cancer,8,Canada
Throat cancer,0,Canada
Thyroid cancer,12,Canada
Undetermined cancer,0,Canada
Uterine cancer,34,Canada
Vaginal cancer,0,Canada
Vulvar cancer,0,Canada
Anal cancer,0,Eritrea
Bladder cancer,0,Eritrea
Brain cancer,0,Eritrea
Breast cancer,0,Eritrea
Cervical cancer,0,Eritrea
Colon cancer,0,Eritrea
Colorectal cancer,0,Eritrea
Esophageal cancer,0,Eritrea
Gallbladder cancer,0,Eritrea
Hodgkin lymphoma,0,Eritrea
Kaposi sarcoma,0,Eritrea
Kidney cancer,0,Eritrea
Laryngeal cancer,0,Eritrea
Leukemia,0,Eritrea
Liver cancer,0,Eritrea
Lung cancer,0,Eritrea
Mesothelioma,0,Eritrea
Mouth cancer,0,Eritrea
Multiple myeloma,0,Eritrea
Non-Hodgkin lymphoma,0,Eritrea
Other cancer,0,Eritrea
Ovarian cancer,0,Eritrea
Pancreatic cancer,0,Eritrea
Penile cancer,0,Eritrea
Prostate cancer,0,Eritrea
Rectal cancer,0,Eritrea
Salivary gland cancer,0,Eritrea
Skin cancer,0,Eritrea
Stomach cancer,0,Eritrea
Testicular cancer,0,Eritrea
Throat cancer,0,Eritrea
Thyroid cancer,0,Eritrea
Undetermined cancer,0,Eritrea
Uterine cancer,0,Eritrea
Vaginal cancer,0,Eritrea
Vulvar cancer,0,Eritrea
Anal cancer,0,Lithuania
Bladder cancer,1,Lithuania
Brain cancer,0,Lithuania
Breast cancer,5,Lithuania
Cervical cancer,1,Lithuania
Colon cancer,2,Lithuania
Colorectal cancer,3,Lithuania
Esophageal cancer,0,Lithuania
Gallbladder cancer,0,Lithuania
Hodgkin lymphoma,0,Lithuania
Kaposi sarcoma,0,Lithuania
Kidney cancer,0,Lithuania
Laryngeal cancer,0,Lithuania
Leukemia,1,Lithuania
Liver cancer,0,Lithuania
Lung cancer,0,Lithuania
Mesothelioma,0,Lithuania
Mouth cancer,0,Lithuania
Multiple myeloma,2,Lithuania
Non-Hodgkin lymphoma,0,Lithuania
Other cancer,0,Lithuania
Ovarian cancer,0,Lithuania
Pancreatic cancer,5,Lithuania
Penile cancer,0,Lithuania
Prostate cancer,6,Lithuania
Rectal cancer,7,Lithuania
Salivary gland cancer,0,Lithuania
Skin cancer,1,Lithuania
Stomach cancer,1,Lithuania
Testicular cancer,0,Lithuania
Throat cancer,0,Lithuania
Thyroid cancer,1,Lithuania
Undetermined cancer,0,Lithuania
Uterine cancer,0,Lithuania
Vaginal cancer,0,Lithuania
Vulvar cancer,0,Lithuania
Anal cancer,1,Greece
Bladder cancer,30,Greece
Brain cancer,8,Greece
Breast cancer,207,Greece
Cervical cancer,13,Greece
Colon cancer,10,Greece
Colorectal cancer,82,Greece
Esophageal cancer,1,Greece
Gallbladder cancer,1,Greece
Hodgkin lymphoma,3,Greece
Kaposi sarcoma,1,Greece
Kidney cancer,10,Greece
Laryngeal cancer,3,Greece
Leukemia,40,Greece
Liver cancer,18,Greece
Lung cancer,18,Greece
Mesothelioma,7,Greece
Mouth cancer,0,Greece
Multiple myeloma,75,Greece
Non-Hodgkin lymphoma,5,Greece
Other cancer,0,Greece
Ovarian cancer,50,Greece
Pancreatic cancer,26,Greece
Penile cancer,0,Greece
Prostate cancer,41,Greece
Rectal cancer,12,Greece
Salivary gland cancer,0,Greece
Skin cancer,27,Greece
Stomach cancer,4,Greece
Testicular cancer,1,Greece
Throat cancer,0,Greece
Thyroid cancer,10,Greece
Undetermined cancer,0,Greece
Uterine cancer,2,Greece
Vaginal cancer,0,Greece
Vulvar cancer,0,Greece
Anal cancer,0,Cameroon
Bladder cancer,0,Cameroon
Brain cancer,0,Cameroon
Breast cancer,0,Cameroon
Cervical cancer,1,Cameroon
Colon cancer,0,Cameroon
Colorectal cancer,0,Cameroon
Esophageal cancer,0,Cameroon
Gallbladder cancer,0,Cameroon
Hodgkin lymphoma,0,Cameroon
Kaposi sarcoma,0,Cameroon
Kidney cancer,0,Cameroon
Laryngeal cancer,0,Cameroon
Leukemia,0,Cameroon
Liver cancer,0,Cameroon
Lung cancer,0,Cameroon
Mesothelioma,0,Cameroon
Mouth cancer,0,Cameroon
Multiple myeloma,0,Cameroon
Non-Hodgkin lymphoma,0,Cameroon
Other cancer,0,Cameroon
Ovarian cancer,0,Cameroon
Pancreatic cancer,0,Cameroon
Penile cancer,0,Cameroon
Prostate cancer,0,Cameroon
Rectal cancer,0,Cameroon
Salivary gland cancer,0,Cameroon
Skin cancer,0,Cameroon
Stomach cancer,0,Cameroon
Testicular cancer,0,Cameroon
Throat cancer,0,Cameroon
Thyroid cancer,0,Cameroon
Undetermined cancer,0,Cameroon
Uterine cancer,0,Cameroon
Vaginal cancer,0,Cameroon
Vulvar cancer,0,Cameroon
Anal cancer,0,Nigeria
Bladder cancer,1,Nigeria
Brain cancer,0,Nigeria
Breast cancer,8,Nigeria
Cervical cancer,7,Nigeria
Colon cancer,0,Nigeria
Colorectal cancer,0,Nigeria
Esophageal cancer,0,Nigeria
Gallbladder cancer,1,Nigeria
Hodgkin lymphoma,0,Nigeria
Kaposi sarcoma,0,Nigeria
