Cancer,Articles,Country
Anal cancer,0,Afghanistan
Anal cancer,0,Albania
Colorectal cancer,1,Algeria
Multiple myeloma,1,Angola
Leukemia,26,Argentina
Prostate cancer,1,Armenia
Breast cancer,365,Australia
Breast cancer,178,Austria
Stomach cancer,1,Azerbaijan
Anal cancer,0,Bahamas
Breast cancer,2,Bahrain
Leukemia,8,Bangladesh
Anal cancer,0,Barbados
Breast cancer,12,Belarus
Breast cancer,289,Belgium
Anal cancer,0,Belize
Anal cancer,0,Benin
Anal cancer,0,Bhutan
Anal cancer,0,Bolivia
Breast cancer,4,Bosnia and Herzegovina
Cervical cancer,1,Botswana
Breast cancer,184,Brazil
Colorectal cancer,1,Brunei Darussalam
Breast cancer,7,Bulgaria
Anal cancer,0,Burkina Faso
Anal cancer,0,Burundi
Anal cancer,0,Cabo Verde
Anal cancer,0,Cambodia
Cervical cancer,1,Cameroon
Breast cancer,647,Canada
Anal cancer,0,Central African Republic
Anal cancer,0,Chad
Breast cancer,9,Chile
Breast cancer,1135,China
Leukemia,3,Colombia
Anal cancer,0,Comoros
Anal cancer,0,Congo Republic
Cervical cancer,3,Costa Rica
Lung cancer,1,Cote d'Ivoire
Breast cancer,13,Croatia
Brain cancer,5,Cuba
Colorectal cancer,2,Cyprus
Leukemia,34,Czechia
Cervical cancer,1,DR Congo
Breast cancer,297,Denmark
Anal cancer,0,Djibouti
Anal cancer,0,Dominican Republic
Uterine cancer,1,Ecuador
Breast cancer,89,Egypt
Rectal cancer,1,El Salvador
Anal cancer,0,Eritrea
Cervical cancer,2,Estonia
Breast cancer,1,Eswatini
Cervical cancer,6,Ethiopia
Anal cancer,0,Fiji
Breast cancer,181,Finland
Breast cancer,807,France
Anal cancer,0,French Guiana
Anal cancer,0,French Polynesia
Anal cancer,0,Gabon
Lung cancer,4,Gambia
Anal cancer,0,Georgia
Leukemia,987,Germany
Breast cancer,5,Ghana
Breast cancer,207,Greece
Prostate cancer,1,Guadeloupe
Anal cancer,0,Guam
Hodgkin lymphoma,1,Guatemala
Anal cancer,0,Guinea
Anal cancer,0,Guinea-Bissau
Anal cancer,0,Guyana
Anal cancer,0,Haiti
Cervical cancer,2,Honduras
Breast cancer,43,Hungary
Cervical cancer,3,Iceland
Breast cancer,128,India
Breast cancer,7,Indonesia
Breast cancer,188,Iran
Leukemia,3,Iraq
Breast cancer,45,Ireland
Breast cancer,94,Israel
Breast cancer,1237,Italy
Leukemia,1,Jamaica
Breast cancer,909,Japan
Breast cancer,4,Jordan
Breast cancer,4,Kazakhstan
Cervical cancer,3,Kenya
Breast cancer,3,Kuwait
Breast cancer,1,Kyrgyz Republic
Anal cancer,0,Laos
Breast cancer,5,Latvia
Breast cancer,24,Lebanon
Anal cancer,0,Lesotho
Anal cancer,0,Liberia
Breast cancer,1,Libya
Rectal cancer,7,Lithuania
Breast cancer,2,Luxembourg
Thyroid cancer,1,Madagascar
Anal cancer,0,Malawi
Breast cancer,30,Malaysia
Anal cancer,0,Maldives
Prostate cancer,1,Mali
Leukemia,1,Malta
Anal cancer,0,Martinique
Anal cancer,0,Mauritania
Anal cancer,0,Mauritius
Leukemia,42,Mexico
Anal cancer,0,"Micronesia, Fed. Sts."
Ovarian cancer,1,Moldova
Breast cancer,1,Mongolia
Anal cancer,0,Montenegro
Leukemia,2,Morocco
Anal cancer,0,Mozambique
Colorectal cancer,3,Myanmar
Colorectal cancer,1,Namibia
Cervical cancer,2,Nepal
Breast cancer,580,Netherlands
Anal cancer,0,New Caledonia
Breast cancer,25,New Zealand
Kidney cancer,1,Nicaragua
Anal cancer,0,Niger
Breast cancer,8,Nigeria
Anal cancer,0,North Korea
Breast cancer,9,North Macedonia
Breast cancer,133,Norway
Leukemia,2,Oman
Breast cancer,14,Pakistan
Anal cancer,0,Palestine
Colorectal cancer,1,Panama
Anal cancer,0,Papua New Guinea
Anal cancer,0,Paraguay
Breast cancer,5,Peru
Breast cancer,5,Philippines
Leukemia,99,Poland
Breast cancer,28,Portugal
Breast cancer,3,Puerto Rico
Leukemia,2,Qatar
Skin cancer,1,Reunion
Colorectal cancer,8,Romania
Breast cancer,45,Russia
Breast cancer,1,Rwanda
Anal cancer,0,Samoa
Anal cancer,0,Sao Tome and Principe
Breast cancer,18,Saudi Arabia
Cervical cancer,1,Senegal
Breast cancer,20,Serbia
Anal cancer,0,Sierra Leone
Breast cancer,53,Singapore
Leukemia,11,Slovakia
Breast cancer,13,Slovenia
Anal cancer,0,Solomon Islands
Anal cancer,0,Somalia
Breast cancer,37,South Africa
Breast cancer,314,South Korea
Anal cancer,0,South Sudan
Breast cancer,474,Spain
Colorectal cancer,2,Sri Lanka
Cervical cancer,1,St. Lucia
Breast cancer,1,Sudan
Anal cancer,0,Suriname
Breast cancer,447,Sweden
Breast cancer,183,Switzerland
Leukemia,1,Syria
Anal cancer,0,Tajikistan
Cervical cancer,1,Tanzania
Cervical cancer,41,Thailand
Anal cancer,0,Timor-Leste
Anal cancer,0,Togo
Anal cancer,0,Trinidad and Tobago
Breast cancer,7,Tunisia
Anal cancer,0,Turkmenistan
Breast cancer,196,Türkiye
Cervical cancer,6,Uganda
Breast cancer,5,Ukraine
Leukemia,4,United Arab Emirates
Breast cancer,1129,United Kingdom
Breast cancer,5911,United States
Leukemia,5,Uruguay
Breast cancer,1,Uzbekistan
Anal cancer,0,Vanuatu
Breast cancer,4,Venezuela
Leukemia,2,Vietnam
Anal cancer,0,Yemen
Cervical cancer,2,Zambia
Lung cancer,1,Zimbabwe
