Year,Articles,Cancer
1993,1,Anal cancer
1994,1,Anal cancer
1996,3,Anal cancer
1997,2,Anal cancer
1998,2,Anal cancer
2001,2,Anal cancer
2002,1,Anal cancer
2003,2,Anal cancer
2004,1,Anal cancer
2005,4,Anal cancer
2006,2,Anal cancer
2007,4,Anal cancer
2008,4,Anal cancer
2009,3,Anal cancer
2010,3,Anal cancer
2011,5,Anal cancer
2012,2,Anal cancer
2013,12,Anal cancer
2014,8,Anal cancer
2015,7,Anal cancer
2016,8,Anal cancer
2017,5,Anal cancer
2018,5,Anal cancer
2019,6,Anal cancer
2020,3,Anal cancer
2021,6,Anal cancer
2022,11,Anal cancer
2023,5,Anal cancer
2024,7,Anal cancer
2025,7,Anal cancer
1984,19,Bladder cancer
1985,23,Bladder cancer
1986,15,Bladder cancer
1987,21,Bladder cancer
1988,28,Bladder cancer
1989,32,Bladder cancer
1990,39,Bladder cancer
1991,32,Bladder cancer
1992,44,Bladder cancer
1993,28,Bladder cancer
1994,70,Bladder cancer
1995,55,Bladder cancer
1996,67,Bladder cancer
1997,48,Bladder cancer
1998,41,Bladder cancer
1999,75,Bladder cancer
2000,60,Bladder cancer
2001,41,Bladder cancer
2002,38,Bladder cancer
2003,38,Bladder cancer
2004,34,Bladder cancer
2005,44,Bladder cancer
2006,37,Bladder cancer
2007,28,Bladder cancer
2008,34,Bladder cancer
2009,35,Bladder cancer
2010,54,Bladder cancer
2011,37,Bladder cancer
2012,42,Bladder cancer
2013,64,Bladder cancer
2014,56,Bladder cancer
2015,50,Bladder cancer
2016,57,Bladder cancer
2017,45,Bladder cancer
2018,63,Bladder cancer
2019,41,Bladder cancer
2020,56,Bladder cancer
2021,63,Bladder cancer
2022,76,Bladder cancer
2023,83,Bladder cancer
2024,78,Bladder cancer
2025,69,Bladder cancer
1984,8,Brain cancer
1985,17,Brain cancer
1986,9,Brain cancer
1987,5,Brain cancer
1988,10,Brain cancer
1989,15,Brain cancer
1990,22,Brain cancer
1991,30,Brain cancer
1992,37,Brain cancer
1993,34,Brain cancer
1994,53,Brain cancer
1995,53,Brain cancer
1996,69,Brain cancer
1997,61,Brain cancer
1998,72,Brain cancer
1999,91,Brain cancer
2000,79,Brain cancer
2001,61,Brain cancer
2002,72,Brain cancer
2003,83,Brain cancer
2004,113,Brain cancer
2005,88,Brain cancer
2006,110,Brain cancer
2007,93,Brain cancer
2008,110,Brain cancer
2009,95,Brain cancer
2010,98,Brain cancer
2011,97,Brain cancer
2012,108,Brain cancer
2013,113,Brain cancer
2014,114,Brain cancer
2015,106,Brain cancer
2016,97,Brain cancer
2017,80,Brain cancer
2018,105,Brain cancer
2019,114,Brain cancer
2020,99,Brain cancer
2021,93,Brain cancer
2022,71,Brain cancer
2023,81,Brain cancer
2024,73,Brain cancer
2025,51,Brain cancer
1984,121,Breast cancer
1985,135,Breast cancer
1986,158,Breast cancer
1987,128,Breast cancer
1988,112,Breast cancer
1989,173,Breast cancer
1990,196,Breast cancer
1991,197,Breast cancer
1992,225,Breast cancer
1993,246,Breast cancer
1994,334,Breast cancer
1995,334,Breast cancer
1996,361,Breast cancer
1997,358,Breast cancer
1998,353,Breast cancer
1999,447,Breast cancer
2000,409,Breast cancer
2001,376,Breast cancer
2002,365,Breast cancer
2003,436,Breast cancer
2004,486,Breast cancer
2005,533,Breast cancer
2006,497,Breast cancer
2007,471,Breast cancer
2008,510,Breast cancer
2009,529,Breast cancer
2010,562,Breast cancer
2011,584,Breast cancer
2012,693,Breast cancer
2013,743,Breast cancer
2014,702,Breast cancer
2015,665,Breast cancer
2016,656,Breast cancer
2017,607,Breast cancer
2018,681,Breast cancer
2019,706,Breast cancer
2020,735,Breast cancer
2021,747,Breast cancer
2022,685,Breast cancer
2023,668,Breast cancer
2024,669,Breast cancer
2025,631,Breast cancer
1984,4,Cervical cancer
1985,5,Cervical cancer
1986,2,Cervical cancer
1987,8,Cervical cancer
1988,7,Cervical cancer
1989,9,Cervical cancer
1990,15,Cervical cancer
1991,12,Cervical cancer
1992,19,Cervical cancer
1993,16,Cervical cancer
1994,22,Cervical cancer
1995,47,Cervical cancer
1996,32,Cervical cancer
1997,35,Cervical cancer
1998,43,Cervical cancer
1999,59,Cervical cancer
2000,48,Cervical cancer
2001,38,Cervical cancer
2002,36,Cervical cancer
2003,54,Cervical cancer
2004,59,Cervical cancer
2005,84,Cervical cancer
2006,59,Cervical cancer
2007,61,Cervical cancer
2008,68,Cervical cancer
2009,65,Cervical cancer
2010,78,Cervical cancer
2011,72,Cervical cancer
2012,95,Cervical cancer
2013,105,Cervical cancer
2014,72,Cervical cancer
2015,110,Cervical cancer
2016,93,Cervical cancer
2017,64,Cervical cancer
2018,88,Cervical cancer
2019,110,Cervical cancer
2020,109,Cervical cancer
2021,83,Cervical cancer
2022,116,Cervical cancer
2023,97,Cervical cancer
2024,122,Cervical cancer
2025,110,Cervical cancer
1984,3,Colon cancer
1985,9,Colon cancer
1986,8,Colon cancer
1987,3,Colon cancer
1988,11,Colon cancer
1989,16,Colon cancer
1990,21,Colon cancer
1991,16,Colon cancer
1992,23,Colon cancer
1993,22,Colon cancer
1994,36,Colon cancer
1995,42,Colon cancer
1996,31,Colon cancer
1997,31,Colon cancer
1998,28,Colon cancer
1999,34,Colon cancer
2000,43,Colon cancer
2001,25,Colon cancer
2002,37,Colon cancer
2003,42,Colon cancer
2004,42,Colon cancer
2005,39,Colon cancer
2006,47,Colon cancer
2007,66,Colon cancer
2008,41,Colon cancer
2009,48,Colon cancer
2010,32,Colon cancer
2011,48,Colon cancer
2012,60,Colon cancer
2013,61,Colon cancer
2014,76,Colon cancer
2015,84,Colon cancer
2016,56,Colon cancer
2017,51,Colon cancer
2018,59,Colon cancer
2019,60,Colon cancer
2020,66,Colon cancer
2021,59,Colon cancer
2022,49,Colon cancer
2023,51,Colon cancer
2024,55,Colon cancer
2025,42,Colon cancer
1984,9,Colorectal cancer
1985,17,Colorectal cancer
1986,28,Colorectal cancer
1987,33,Colorectal cancer
1988,46,Colorectal cancer
1989,40,Colorectal cancer
1990,50,Colorectal cancer
1991,62,Colorectal cancer
1992,72,Colorectal cancer
1993,87,Colorectal cancer
1994,124,Colorectal cancer
1995,151,Colorectal cancer
1996,117,Colorectal cancer
1997,114,Colorectal cancer
1998,122,Colorectal cancer
1999,147,Colorectal cancer
2000,164,Colorectal cancer
2001,122,Colorectal cancer
2002,193,Colorectal cancer
2003,174,Colorectal cancer
2004,184,Colorectal cancer
2005,211,Colorectal cancer
2006,210,Colorectal cancer
2007,220,Colorectal cancer
2008,215,Colorectal cancer
2009,224,Colorectal cancer
2010,218,Colorectal cancer
2011,247,Colorectal cancer
2012,299,Colorectal cancer
2013,330,Colorectal cancer
2014,321,Colorectal cancer
2015,355,Colorectal cancer
2016,272,Colorectal cancer
2017,261,Colorectal cancer
2018,278,Colorectal cancer
2019,327,Colorectal cancer
2020,335,Colorectal cancer
2021,321,Colorectal cancer
2022,298,Colorectal cancer
2023,328,Colorectal cancer
2024,315,Colorectal cancer
2025,241,Colorectal cancer
1984,5,Esophageal cancer
1985,3,Esophageal cancer
1986,3,Esophageal cancer
1987,4,Esophageal cancer
1988,6,Esophageal cancer
1989,3,Esophageal cancer
1990,9,Esophageal cancer
1991,6,Esophageal cancer
1992,12,Esophageal cancer
1993,18,Esophageal cancer
1994,20,Esophageal cancer
1995,34,Esophageal cancer
1996,20,Esophageal cancer
1997,30,Esophageal cancer
1998,25,Esophageal cancer
1999,34,Esophageal cancer
2000,34,Esophageal cancer
