Country,ASR
Afghanistan,126.09
Albania,212.7
Algeria,195.96
Angola,179.38
Argentina,305.01
Armenia,256.46
Australia,587.28
Austria,345.75
Azerbaijan,185.47
Bahamas,302.28
Bahrain,170.31
Bangladesh,114.99
Barbados,323.11
Belarus,379.57
Belgium,449.90000000000003
Belize,168.8
Benin,151.88
Bhutan,92.89
Bolivia,193.75
Bosnia and Herzegovina,290.22
Botswana,158.84
Brazil,308.23
Brunei Darussalam,274.42
Bulgaria,309.37
Burkina Faso,159.98999999999998
Burundi,184.11
Cabo Verde,136.23
Cambodia,166.9
Cameroon,190.29000000000002
Canada,459.13
Central African Republic,148.91
Chad,177.34
Chile,268.64
China,247.4
Colombia,251.67000000000002
Comoros,157.08
Congo Republic,132.2
Costa Rica,238.02
Cote d'Ivoire,203.91
Croatia,438.88
Cuba,304.1
Cyprus,412.13
Czechia,391.02
DR Congo,153.85999999999999
Denmark,512.87
Djibouti,125.05000000000001
Dominican Republic,256.31
Ecuador,210.85999999999999
Egypt,199.44
El Salvador,173.88
Eritrea,133.54999999999998
Estonia,410.65999999999997
Eswatini,225.04000000000002
Ethiopia,143.9
Fiji,260.45
Finland,395.14
France,466.83
French Guiana,300.21999999999997
French Polynesia,307.04
Gabon,167.18
Gambia,107.72999999999999
Georgia,255.45
Germany,372.99
Ghana,171.45000000000002
Greece,363.81
Guadeloupe,390.76
Guam,243.96
Guatemala,173.69
Guinea,163.75
Guinea-Bissau,141.74
Guyana,208.96
Haiti,201.49
Honduras,167.04
Hungary,470.67
Iceland,376.53
India,125.78
Indonesia,180.17
Iran,183.02
Iraq,174.44
Ireland,478.27
Israel,331.57
Italy,392.45
Jamaica,313.21
Japan,374.25
Jordan,204.12
Kazakhstan,207.87
Kenya,215.7
Kuwait,160.6
Kyrgyz Republic,154.56
Laos,183.47
Latvia,405.44
Lebanon,218.22
Lesotho,172.5
Liberia,169.15
Libya,170.07999999999998
Lithuania,427.1
Luxembourg,391.36
Madagascar,168.35
Malawi,210.03
Malaysia,197.07
Maldives,160.41
Mali,189.17000000000002
Malta,367.47999999999996
Martinique,355.6
Mauritania,150.06
Mauritius,200.89
Mexico,200.48
"Micronesia, Fed. Sts.",244.75
Moldova,308.97
Mongolia,254.57999999999998
Montenegro,322.32
Morocco,204.73
Mozambique,168.95
Myanmar,161.23
Namibia,266.12
Nepal,91.49
Netherlands,469.25
New Caledonia,400.79
New Zealand,553.83
Nicaragua,188.35999999999999
Niger,102.10000000000001
Nigeria,176.4
North Korea,204.52
North Macedonia,293.36
Norway,517.27
Oman,145.76
Pakistan,125.95
Palestine,198.25
Panama,224.56
Papua New Guinea,247.91
Paraguay,284.35
Peru,230.59
Philippines,249.46
Poland,371.96
Portugal,412.27
Puerto Rico,343.59
Qatar,127.75
Reunion,281.05
Romania,378.62
Russia,345.84000000000003
Rwanda,126.41
Samoa,350.3
Sao Tome and Principe,150.66
Saudi Arabia,119.33
Senegal,156.55
Serbia,336.89
Sierra Leone,59.38
Singapore,327.59999999999997
Slovakia,407.03000000000003
Slovenia,422.23
Solomon Islands,192.44
Somalia,165.14000000000001
South Africa,285.66
South Korea,306.96
South Sudan,134.8
Spain,389.85
Sri Lanka,127.75
St. Lucia,259.12
Sudan,124.24
Suriname,261.36
Sweden,441.89
Switzerland,398.91
Syria,181.65
Tajikistan,100.66999999999999
Tanzania,209.51999999999998
Thailand,199.88
Timor-Leste,117.26
Togo,151.12
Trinidad and Tobago,280.2
Tunisia,169.13
Turkmenistan,145.85
Türkiye,291.05
Uganda,219.25
Ukraine,269.86
United Arab Emirates,168.13
United Kingdom,428.71
United States,487.2
Uruguay,382.92
Uzbekistan,143.52
Vanuatu,140.5
Venezuela,264.73
Vietnam,188.78
Yemen,100.07
Zambia,236.4
Zimbabwe,298.15000000000003
