Cancer,Articles,Country,ASR,Norm_articles
Anal cancer,0,Comoros,0.0,0.0
Bladder cancer,0,Comoros,4.8,0.0
Brain cancer,3,Comoros,0.0,3.4481252542992373
Breast cancer,12,Comoros,21.5,13.79250101719695
Cervical cancer,3,Comoros,52.0,3.4481252542992373
Colon cancer,1,Comoros,1.9,1.1493750847664126
Colorectal cancer,0,Comoros,3.7,0.0
Esophageal cancer,0,Comoros,10.4,0.0
Gallbladder cancer,0,Comoros,0.0,0.0
Hodgkin lymphoma,0,Comoros,0.08,0.0
Kaposi sarcoma,0,Comoros,0.0,0.0
Kidney cancer,0,Comoros,0.46,0.0
Laryngeal cancer,0,Comoros,0.44,0.0
Leukemia,8,Comoros,1.2,9.1950006781313
Liver cancer,2,Comoros,5.0,2.298750169532825
Lung cancer,2,Comoros,1.8,2.298750169532825
Mesothelioma,0,Comoros,0.0,0.0
Mouth cancer,0,Comoros,1.5,0.0
Multiple myeloma,0,Comoros,0.0,0.0
Non-Hodgkin lymphoma,0,Comoros,4.2,0.0
Ovarian cancer,0,Comoros,2.5,0.0
Pancreatic cancer,1,Comoros,0.76,1.1493750847664126
Penile cancer,0,Comoros,0.68,0.0
Prostate cancer,2,Comoros,33.2,2.298750169532825
Rectal cancer,0,Comoros,1.8,0.0
Salivary gland cancer,0,Comoros,0.21,0.0
Skin cancer,2,Comoros,3.18,2.298750169532825
Stomach cancer,0,Comoros,2.1,0.0
Testicular cancer,0,Comoros,0.0,0.0
Throat cancer,0,Comoros,0.33,0.0
Thyroid cancer,0,Comoros,0.54,0.0
Uterine cancer,0,Comoros,1.2,0.0
Vaginal cancer,0,Comoros,0.0,0.0
Vulvar cancer,0,Comoros,1.6,0.0
Anal cancer,0,Palestine,0.11,0.0
Bladder cancer,4,Palestine,6.6,0.7294677620840894
Brain cancer,3,Palestine,3.6,0.547100821563067
Breast cancer,63,Palestine,46.3,11.489117252824409
Cervical cancer,10,Palestine,3.1,1.8236694052102236
Colon cancer,6,Palestine,12.2,1.094201643126134
Colorectal cancer,21,Palestine,18.3,3.829705750941469
Esophageal cancer,0,Palestine,0.7,0.0
Gallbladder cancer,0,Palestine,1.6,0.0
Hodgkin lymphoma,2,Palestine,2.0,0.3647338810420447
Kaposi sarcoma,0,Palestine,0.26,0.0
Kidney cancer,5,Palestine,3.3,0.9118347026051118
Laryngeal cancer,0,Palestine,2.6,0.0
Leukemia,13,Palestine,6.1,2.3707702267732906
Liver cancer,6,Palestine,5.1,1.094201643126134
Lung cancer,11,Palestine,20.4,2.006036345731246
Mesothelioma,0,Palestine,0.15,0.0
Mouth cancer,0,Palestine,1.2,0.0
Multiple myeloma,6,Palestine,3.4,1.094201643126134
Non-Hodgkin lymphoma,1,Palestine,6.7,0.18236694052102234
Ovarian cancer,6,Palestine,4.2,1.094201643126134
Pancreatic cancer,3,Palestine,4.6,0.547100821563067
Penile cancer,0,Palestine,0.0,0.0
Prostate cancer,8,Palestine,17.5,1.4589355241681787
Rectal cancer,2,Palestine,6.0,0.3647338810420447
Salivary gland cancer,0,Palestine,0.42,0.0
Skin cancer,15,Palestine,2.14,2.735504107815335
Stomach cancer,2,Palestine,5.0,0.3647338810420447
Testicular cancer,1,Palestine,1.6,0.18236694052102234
Throat cancer,0,Palestine,0.76,0.0
Thyroid cancer,5,Palestine,4.9,0.9118347026051118
Uterine cancer,0,Palestine,6.9,0.0
Vaginal cancer,0,Palestine,0.16,0.0
Vulvar cancer,0,Palestine,0.35,0.0
Anal cancer,0,Malawi,0.85,0.0
Bladder cancer,1,Malawi,7.2,0.04822935101331313
