Cancer,Articles,Country,ASR,Norm_articles
Anal cancer,4,Peru,0.6,0.11644749888821751
Bladder cancer,3,Peru,2.3,0.08733562416616313
Brain cancer,18,Peru,2.9,0.5240137449969787
Breast cancer,137,Peru,39.3,3.9883268369214497
Cervical cancer,71,Peru,23.9,2.0669431052658607
Colon cancer,19,Peru,8.6,0.5531256197190332
Colorectal cancer,36,Peru,11.4,1.0480274899939575
Esophageal cancer,7,Peru,0.82,0.20378312305438062
Gallbladder cancer,6,Peru,2.6,0.17467124833232625
Hodgkin lymphoma,17,Peru,1.2,0.4949018702749244
Kaposi sarcoma,8,Peru,0.79,0.23289499777643502
Kidney cancer,6,Peru,5.0,0.17467124833232625
Laryngeal cancer,2,Peru,0.58,0.058223749444108755
Leukemia,58,Peru,8.1,1.6884887338791539
Liver cancer,22,Peru,4.9,0.6404612438851963
Lung cancer,37,Peru,6.8,1.077139364716012
Mesothelioma,4,Peru,0.16,0.11644749888821751
Mouth cancer,0,Peru,1.7,0.0
Multiple myeloma,4,Peru,2.2,0.11644749888821751
Non-Hodgkin lymphoma,31,Peru,9.6,0.9024681163836856
Ovarian cancer,14,Peru,5.8,0.40756624610876124
Pancreatic cancer,8,Peru,4.1,0.23289499777643502
Penile cancer,5,Peru,1.3,0.14555937361027188
Prostate cancer,24,Peru,40.1,0.698684993329305
Rectal cancer,12,Peru,2.2,0.3493424966646525
Salivary gland cancer,0,Peru,0.58,0.0
Skin cancer,42,Peru,9.4,1.2226987383262837
Stomach cancer,29,Peru,14.3,0.8442443669395769
Testicular cancer,5,Peru,3.9,0.14555937361027188
Throat cancer,0,Peru,1.01,0.0
Thyroid cancer,15,Peru,6.3,0.43667812083081564
Uterine cancer,11,Peru,6.5,0.32023062194259816
Vaginal cancer,1,Peru,0.45,0.029111874722054377
Vulvar cancer,0,Peru,1.2,0.0
Anal cancer,0,Philippines,0.24,0.0
Bladder cancer,1,Philippines,2.1,0.008762429506254622
Brain cancer,12,Philippines,2.4,0.10514915407505547
Breast cancer,59,Philippines,60.3,0.5169833408690228
Cervical cancer,38,Philippines,15.5,0.3329723212376756
Colon cancer,7,Philippines,13.5,0.06133700654378235
Colorectal cancer,42,Philippines,20.8,0.3680220392626941
Esophageal cancer,0,Philippines,1.4,0.0
Gallbladder cancer,1,Philippines,0.35,0.008762429506254622
Hodgkin lymphoma,0,Philippines,0.54,0.0
Kaposi sarcoma,0,Philippines,0.01,0.0
Kidney cancer,3,Philippines,2.9,0.026287288518763868
Laryngeal cancer,1,Philippines,2.0,0.008762429506254622
Leukemia,22,Philippines,6.6,0.1927734491376017
Liver cancer,12,Philippines,12.4,0.10514915407505547
Lung cancer,23,Philippines,24.0,0.2015358786438563
Mesothelioma,0,Philippines,0.07,0.0
Mouth cancer,0,Philippines,1.9,0.0
Multiple myeloma,2,Philippines,0.93,0.017524859012509244
Non-Hodgkin lymphoma,1,Philippines,4.9,0.008762429506254622
Ovarian cancer,10,Philippines,11.7,0.08762429506254622
Pancreatic cancer,3,Philippines,4.1,0.026287288518763868
Penile cancer,0,Philippines,0.32,0.0
Prostate cancer,14,Philippines,24.1,0.1226740130875647
Rectal cancer,9,Philippines,7.0,0.0788618655562916
Salivary gland cancer,0,Philippines,0.67,0.0
Skin cancer,11,Philippines,1.7,0.09638672456880085
Stomach cancer,2,Philippines,4.2,0.017524859012509244
Testicular cancer,0,Philippines,0.77,0.0
Throat cancer,0,Philippines,4.29,0.0
Thyroid cancer,25,Philippines,7.3,0.21906073765636555
Uterine cancer,6,Philippines,9.9,0.052574577037527735
Vaginal cancer,0,Philippines,0.22,0.0
Vulvar cancer,0,Philippines,0.35,0.0
Anal cancer,0,Jamaica,0.65,0.0
Bladder cancer,0,Jamaica,3.0,0.0
Brain cancer,2,Jamaica,2.1,0.7078282978428225
Breast cancer,40,Jamaica,71.1,14.156565956856449
Cervical cancer,18,Jamaica,20.4,6.370454680585402
Colon cancer,5,Jamaica,14.8,1.769570744607056
Colorectal cancer,12,Jamaica,20.2,4.246969787056935
Esophageal cancer,0,Jamaica,1.9,0.0
Gallbladder cancer,0,Jamaica,1.1,0.0
Hodgkin lymphoma,1,Jamaica,0.55,0.35391414892141126
Kaposi sarcoma,0,Jamaica,0.0,0.0
Kidney cancer,7,Jamaica,1.3,2.477399042449879
Laryngeal cancer,0,Jamaica,1.5,0.0
Leukemia,19,Jamaica,5.1,6.724368829506814
Liver cancer,3,Jamaica,2.9,1.0617424467642338
Lung cancer,7,Jamaica,14.0,2.477399042449879
Mesothelioma,0,Jamaica,0.06,0.0
Mouth cancer,0,Jamaica,0.81,0.0
Multiple myeloma,7,Jamaica,3.8,2.477399042449879
Non-Hodgkin lymphoma,2,Jamaica,6.9,0.7078282978428225
Ovarian cancer,4,Jamaica,5.5,1.415656595685645
Pancreatic cancer,0,Jamaica,3.7,0.0
Penile cancer,2,Jamaica,0.96,0.7078282978428225
Prostate cancer,49,Jamaica,85.7,17.341793297149152
Rectal cancer,1,Jamaica,4.7,0.35391414892141126
Salivary gland cancer,0,Jamaica,0.4,0.0
Skin cancer,6,Jamaica,2.26,2.1234848935284676
Stomach cancer,1,Jamaica,6.9,0.35391414892141126
Testicular cancer,0,Jamaica,0.29,0.0
Throat cancer,0,Jamaica,1.4500000000000002,0.0
Thyroid cancer,1,Jamaica,3.1,0.35391414892141126
Uterine cancer,2,Jamaica,25.4,0.7078282978428225
Vaginal cancer,0,Jamaica,0.31,0.0
Vulvar cancer,1,Jamaica,0.37,0.35391414892141126
Anal cancer,0,Bolivia,0.08,0.0
Bladder cancer,1,Bolivia,1.0,0.08839685236488098
Brain cancer,2,Bolivia,2.3,0.17679370472976197
Breast cancer,0,Bolivia,26.8,0.0
Cervical cancer,3,Bolivia,38.7,0.26519055709464295
Colon cancer,1,Bolivia,4.8,0.08839685236488098
Colorectal cancer,0,Bolivia,6.0,0.0
Esophageal cancer,0,Bolivia,1.4,0.0
Gallbladder cancer,1,Bolivia,7.6,0.08839685236488098
Hodgkin lymphoma,0,Bolivia,1.2,0.0
Kaposi sarcoma,1,Bolivia,0.0,0.08839685236488098
Kidney cancer,2,Bolivia,3.0,0.17679370472976197
Laryngeal cancer,0,Bolivia,1.3,0.0
Leukemia,3,Bolivia,4.9,0.26519055709464295
Liver cancer,0,Bolivia,6.7,0.0
Lung cancer,0,Bolivia,8.5,0.0
Mesothelioma,1,Bolivia,0.11,0.08839685236488098
Mouth cancer,0,Bolivia,0.59,0.0
Multiple myeloma,0,Bolivia,0.42,0.0
Non-Hodgkin lymphoma,1,Bolivia,2.5,0.08839685236488098
Ovarian cancer,1,Bolivia,3.1,0.08839685236488098
Pancreatic cancer,3,Bolivia,3.0,0.26519055709464295
Penile cancer,0,Bolivia,2.4,0.0
Prostate cancer,1,Bolivia,34.2,0.08839685236488098
Rectal cancer,0,Bolivia,1.2,0.0
Salivary gland cancer,0,Bolivia,0.67,0.0
Skin cancer,1,Bolivia,7.6,0.08839685236488098
Stomach cancer,1,Bolivia,8.7,0.08839685236488098
Testicular cancer,0,Bolivia,1.4,0.0
Throat cancer,0,Bolivia,0.78,0.0
Thyroid cancer,0,Bolivia,2.1,0.0
Uterine cancer,0,Bolivia,9.7,0.0
Vaginal cancer,0,Bolivia,0.49,0.0
Vulvar cancer,0,Bolivia,0.51,0.0
Anal cancer,0,Moldova,0.18,0.0
Bladder cancer,1,Moldova,7.2,0.4199386889514131
Brain cancer,2,Moldova,6.2,0.8398773779028262
Breast cancer,13,Moldova,46.6,5.459202956368371
Cervical cancer,4,Moldova,14.2,1.6797547558056525
Colon cancer,1,Moldova,16.3,0.4199386889514131
Colorectal cancer,3,Moldova,27.5,1.2598160668542393
Esophageal cancer,0,Moldova,2.1,0.0
Gallbladder cancer,0,Moldova,0.31,0.0
Hodgkin lymphoma,1,Moldova,1.5,0.4199386889514131
Kaposi sarcoma,0,Moldova,0.06,0.0
Kidney cancer,2,Moldova,5.8,0.8398773779028262
Laryngeal cancer,1,Moldova,5.5,0.4199386889514131
Leukemia,3,Moldova,5.0,1.2598160668542393
Liver cancer,0,Moldova,10.1,0.0
Lung cancer,1,Moldova,22.3,0.4199386889514131
Mesothelioma,0,Moldova,0.04,0.0
Mouth cancer,0,Moldova,4.4,0.0
Multiple myeloma,1,Moldova,1.2,0.4199386889514131
Non-Hodgkin lymphoma,1,Moldova,5.8,0.4199386889514131
Ovarian cancer,2,Moldova,6.9,0.8398773779028262
Pancreatic cancer,0,Moldova,8.1,0.0
Penile cancer,0,Moldova,0.62,0.0
Prostate cancer,0,Moldova,34.6,0.0
Rectal cancer,1,Moldova,11.0,0.4199386889514131
Salivary gland cancer,0,Moldova,0.21,0.0
Skin cancer,2,Moldova,24.1,0.8398773779028262
Stomach cancer,0,Moldova,9.6,0.0
Testicular cancer,0,Moldova,1.9,0.0
Throat cancer,0,Moldova,6.029999999999999,0.0
Thyroid cancer,0,Moldova,7.4,0.0
Uterine cancer,0,Moldova,15.2,0.0
Vaginal cancer,0,Moldova,0.07,0.0
Vulvar cancer,0,Moldova,0.95,0.0
Anal cancer,2,Zimbabwe,0.98,0.1171434316477155
Bladder cancer,2,Zimbabwe,2.7,0.1171434316477155
Brain cancer,2,Zimbabwe,2.2,0.1171434316477155
Breast cancer,14,Zimbabwe,35.8,0.8200040215340084
Cervical cancer,56,Zimbabwe,68.2,3.2800160861360337
Colon cancer,1,Zimbabwe,5.2,0.05857171582385775
Colorectal cancer,4,Zimbabwe,9.7,0.234286863295431
Esophageal cancer,0,Zimbabwe,12.0,0.0
Gallbladder cancer,0,Zimbabwe,0.65,0.0
Hodgkin lymphoma,2,Zimbabwe,0.77,0.1171434316477155
Kaposi sarcoma,10,Zimbabwe,9.5,0.5857171582385775
Kidney cancer,3,Zimbabwe,1.5,0.17571514747157324
Laryngeal cancer,0,Zimbabwe,1.2,0.0
Leukemia,10,Zimbabwe,2.7,0.5857171582385775
Liver cancer,13,Zimbabwe,7.7,0.7614323057101507
Lung cancer,13,Zimbabwe,5.9,0.7614323057101507
Mesothelioma,2,Zimbabwe,0.07,0.1171434316477155
Mouth cancer,0,Zimbabwe,1.4,0.0
Multiple myeloma,2,Zimbabwe,3.5,0.1171434316477155
Non-Hodgkin lymphoma,3,Zimbabwe,10.3,0.17571514747157324
Ovarian cancer,1,Zimbabwe,6.5,0.05857171582385775
Pancreatic cancer,0,Zimbabwe,2.7,0.0
Penile cancer,0,Zimbabwe,3.0,0.0
