Cancer,Articles,Country,ASR
Anal cancer,0.0,Comoros,0.0
Bladder cancer,0.0,Comoros,3.0557677616501144
Brain cancer,8.333333333333334,Comoros,0.0
Breast cancer,33.333333333333336,Comoros,13.687293099057804
Cervical cancer,8.333333333333334,Comoros,33.10415075120957
Colon cancer,2.7777777777777777,Comoros,1.2095747389865037
Colorectal cancer,0.0,Comoros,2.3554876496052963
Esophageal cancer,0.0,Comoros,6.620830150241915
Gallbladder cancer,0.0,Comoros,0.0
Hodgkin lymphoma,0.0,Comoros,0.05092946269416857
Kaposi sarcoma,0.0,Comoros,0.0
Kidney cancer,0.0,Comoros,0.2928444104914693
Laryngeal cancer,0.0,Comoros,0.2801120448179272
Leukemia,22.22222222222222,Comoros,0.7639419404125286
Liver cancer,5.555555555555555,Comoros,3.1830914183855357
Lung cancer,5.555555555555555,Comoros,1.1459129106187929
Mesothelioma,0.0,Comoros,0.0
Mouth cancer,0.0,Comoros,0.9549274255156608
Multiple myeloma,0.0,Comoros,0.0
Non-Hodgkin lymphoma,0.0,Comoros,2.67379679144385
Ovarian cancer,0.0,Comoros,1.5915457091927678
Pancreatic cancer,2.7777777777777777,Comoros,0.48382989559460143
Penile cancer,0.0,Comoros,0.43290043290043284
Prostate cancer,5.555555555555555,Comoros,21.13572701807996
Rectal cancer,0.0,Comoros,1.1459129106187929
Salivary gland cancer,0.0,Comoros,0.1336898395721925
Skin cancer,5.555555555555555,Comoros,2.024446142093201
Stomach cancer,0.0,Comoros,1.336898395721925
Testicular cancer,0.0,Comoros,0.0
Throat cancer,0.0,Comoros,0.21008403361344535
Thyroid cancer,0.0,Comoros,0.34377387318563785
Uterine cancer,0.0,Comoros,0.7639419404125286
Vaginal cancer,0.0,Comoros,0.0
Vulvar cancer,0.0,Comoros,1.0185892538833714
Anal cancer,0.2526847757422615,Slovenia,0.059209435615659715
Bladder cancer,2.5268477574226154,Slovenia,2.889420458044194
Brain cancer,8.591282375236892,Slovenia,1.3736589062833053
Breast cancer,18.76184459886292,Slovenia,19.491746204675177
Cervical cancer,5.053695514845231,Slovenia,1.7052317457309998
Colon cancer,1.5161086544535691,Slovenia,4.192028041588708
Colorectal cancer,7.012002526847757,Slovenia,7.223551145110486
Esophageal cancer,0.5685407454200885,Slovenia,0.5210430334178056
Gallbladder cancer,0.06317119393556538,Slovenia,0.28420529095516667
Hodgkin lymphoma,0.3790271636133923,Slovenia,0.5920943561565972
Kaposi sarcoma,0.06317119393556538,Slovenia,0.004736754849252778
Kidney cancer,1.326595072646873,Slovenia,2.0131208109324303
Laryngeal cancer,0.8212255211623499,Slovenia,0.6631456788953888
Leukemia,6.380290587492103,Slovenia,2.0131208109324303
Liver cancer,2.4005053695514844,Slovenia,1.5157615517608887
Lung cancer,5.495893872394189,Slovenia,8.09985079222225
Mesothelioma,2.4005053695514844,Slovenia,0.2273642327641333
Mouth cancer,0.0,Slovenia,0.8762996471117638
Multiple myeloma,1.0739102969046115,Slovenia,0.7105132273879166
Non-Hodgkin lymphoma,1.6424510423246999,Slovenia,2.4394287473651803
Ovarian cancer,5.685407454200885,Slovenia,1.9183857139473748
Pancreatic cancer,0.8843967150979154,Slovenia,1.9657532624399028
Penile cancer,0.0,Slovenia,0.1302607583544514
Prostate cancer,2.9058749210360078,Slovenia,17.19442010278758
Rectal cancer,1.831964624131396,Slovenia,2.960471780782986
Salivary gland cancer,0.0,Slovenia,0.10894536153281388
Skin cancer,14.466203411244473,Slovenia,6.228832626767402
Stomach cancer,1.137081490840177,Slovenia,1.9894370366861664
Testicular cancer,0.2526847757422615,Slovenia,3.078890652014305
Throat cancer,0.0,Slovenia,0.9662979892475666
Thyroid cancer,1.326595072646873,Slovenia,2.0131208109324303
Uterine cancer,4.485154769425142,Slovenia,4.002557847618596
Vaginal cancer,0.06317119393556538,Slovenia,0.12078724865594583
Vulvar cancer,0.6317119393556538,Slovenia,0.42630793643274995
Anal cancer,0.0,Palestine,0.05548549810844894
Bladder cancer,2.0725388601036268,Palestine,3.3291298865069363
Brain cancer,1.5544041450777202,Palestine,1.8158890290037835
Breast cancer,32.64248704663213,Palestine,23.354350567465325
Cervical cancer,5.181347150259067,Palestine,1.5636822194199245
Colon cancer,3.1088082901554404,Palestine,6.153846153846155
Colorectal cancer,10.880829015544041,Palestine,9.230769230769232
Esophageal cancer,0.0,Palestine,0.35308953341740235
Gallbladder cancer,0.0,Palestine,0.8070617906683482
Hodgkin lymphoma,1.0362694300518134,Palestine,1.0088272383354353
Kaposi sarcoma,0.0,Palestine,0.13114754098360656
Kidney cancer,2.5906735751295336,Palestine,1.6645649432534682
Laryngeal cancer,0.0,Palestine,1.3114754098360657
Leukemia,6.7357512953367875,Palestine,3.0769230769230775
Liver cancer,3.1088082901554404,Palestine,2.5725094577553596
Lung cancer,5.699481865284974,Palestine,10.290037831021438
Mesothelioma,0.0,Palestine,0.07566204287515764
Mouth cancer,0.0,Palestine,0.6052963430012611
Multiple myeloma,3.1088082901554404,Palestine,1.7150063051702398
Non-Hodgkin lymphoma,0.5181347150259067,Palestine,3.3795712484237077
Ovarian cancer,3.1088082901554404,Palestine,2.118537200504414
Pancreatic cancer,1.5544041450777202,Palestine,2.320302648171501
Penile cancer,0.0,Palestine,0.0
Prostate cancer,4.1450777202072535,Palestine,8.827238335435059
Rectal cancer,1.0362694300518134,Palestine,3.0264817150063057
Salivary gland cancer,0.0,Palestine,0.2118537200504414
Skin cancer,7.772020725388601,Palestine,1.0794451450189158
Stomach cancer,1.0362694300518134,Palestine,2.522068095838588
Testicular cancer,0.5181347150259067,Palestine,0.8070617906683482
Throat cancer,0.0,Palestine,0.38335435056746536
Thyroid cancer,2.5906735751295336,Palestine,2.4716267339218163
Uterine cancer,0.0,Palestine,3.4804539722572514
Vaginal cancer,0.0,Palestine,0.08070617906683482
Vulvar cancer,0.0,Palestine,0.17654476670870117
Anal cancer,0.0,Malawi,0.4047040898919202
Bladder cancer,0.7751937984496124,Malawi,3.428081702613912
Brain cancer,0.7751937984496124,Malawi,0.2951959243917536
Breast cancer,6.2015503875969,Malawi,11.998285959148692
Cervical cancer,28.68217054263566,Malawi,33.757082321573115
Colon cancer,0.0,Malawi,0.9522449173927534
Colorectal cancer,0.0,Malawi,2.3330000476122463
Esophageal cancer,2.3255813953488373,Malawi,8.522592010665141
Gallbladder cancer,0.0,Malawi,0.01904489834785507
Hodgkin lymphoma,8.527131782945736,Malawi,0.2904346998047898
Kaposi sarcoma,10.852713178294573,Malawi,5.713469504356521
Kidney cancer,12.4031007751938,Malawi,0.4332714374137028
Laryngeal cancer,0.0,Malawi,0.3285244965004999
Leukemia,6.2015503875969,Malawi,0.40946531447888396
Liver cancer,5.426356589147287,Malawi,1.856877588915869
Lung cancer,5.426356589147287,Malawi,0.7617959339142027
Mesothelioma,0.0,Malawi,0.0
Mouth cancer,0.0,Malawi,0.7141836880445651
Multiple myeloma,0.0,Malawi,0.10474694091320287
Non-Hodgkin lymphoma,7.751937984496124,Malawi,3.0947959815264485
Ovarian cancer,0.0,Malawi,1.571204113698043
Pancreatic cancer,0.0,Malawi,0.23806122934818835
Penile cancer,0.0,Malawi,1.1903061467409417
Prostate cancer,0.0,Malawi,13.331428843498548
Rectal cancer,0.0,Malawi,0.999857163262391
Salivary gland cancer,0.0,Malawi,0.4666000095224492
